Tarih,TP_DK_USD_S_YTL,TP_DK_USD_A_YTL,TP_DK_EUR_S_YTL,TP_DK_EUR_A_YTL,TP_DK_GBP_S_YTL,TP_DK_GBP_A_YTL,TP_DK_CHF_S_YTL,TP_DK_CHF_A_YTL,TP_DK_JPY_S_YTL,TP_DK_JPY_A_YTL
2016-09-20,2.9793,2.974,3.3259,3.3199,3.895,3.8748,3.0451,3.0256,2.93,2.9107
2016-09-21,2.9794,2.9741,3.3342,3.3282,3.8825,3.8623,3.0542,3.0348,2.935,2.9157
2016-09-22,2.9792,2.9739,3.3212,3.3152,3.8758,3.8557,3.0553,3.0358,2.9382,2.9188
2016-09-23,2.9521,2.9468,3.3159,3.31,3.8637,3.8437,3.0521,3.0327,2.9389,2.9196
2016-09-26,2.9527,2.9474,3.3104,3.3044,3.8458,3.8258,3.0498,3.0303,2.9339,2.9146
2016-09-27,2.99,2.9846,3.3606,3.3546,3.8737,3.8536,3.0931,3.0734,2.9802,2.9606
2016-09-28,2.9763,2.9709,3.3461,3.3401,3.8663,3.8462,3.0787,3.0591,2.9684,2.9489
2016-09-29,2.9818,2.9764,3.3422,3.3362,3.8855,3.8654,3.0758,3.0562,2.9689,2.9493
2016-09-30,3.0013,2.9959,3.3669,3.3608,3.9112,3.8909,3.0983,3.0785,2.9646,2.9451
2016-10-03,3.0058,3.0004,3.3608,3.3548,3.9019,3.8817,3.1037,3.0839,2.9813,2.9617
2016-10-04,3.009,3.0036,3.3804,3.3743,3.8816,3.8615,3.1037,3.0839,2.9754,2.9558
2016-10-05,3.0348,3.0293,3.3895,3.3834,3.88,3.8599,3.1066,3.0868,2.9706,2.951
2016-10-06,3.0592,3.0537,3.4326,3.4264,3.8973,3.8771,3.1376,3.1176,2.9776,2.958
2016-10-07,3.0561,3.0506,3.4195,3.4134,3.8895,3.8694,3.1347,3.1147,2.9563,2.9369
2016-10-10,3.056,3.0505,3.4006,3.3944,3.7957,3.7761,3.1195,3.0996,2.9517,2.9323
2016-10-11,3.064,3.0585,3.4234,3.4173,3.8073,3.7875,3.1341,3.1141,2.975,2.9555
2016-10-12,3.0864,3.0808,3.4262,3.42,3.7979,3.7782,3.137,3.117,2.9789,2.9593
2016-10-13,3.0861,3.0805,3.4044,3.3983,3.7907,3.771,3.1274,3.1074,2.9857,2.9661
2016-10-14,3.1023,3.0967,3.4182,3.4121,3.7865,3.7668,3.1448,3.1247,2.9933,2.9736
2016-10-17,3.0922,3.0866,3.406,3.3999,3.7842,3.7646,3.1347,3.1147,2.9742,2.9546
2016-10-18,3.1013,3.0957,3.4076,3.4015,3.7798,3.7602,3.1426,3.1226,2.9858,2.9662
2016-10-19,3.0984,3.0928,3.4122,3.406,3.8051,3.7853,3.1414,3.1214,2.9872,2.9676
2016-10-20,3.0841,3.0785,3.3888,3.3827,3.7975,3.7778,3.1251,3.1052,2.9879,2.9682
2016-10-21,3.0731,3.0675,3.3717,3.3657,3.7777,3.7581,3.1142,3.0943,2.9704,2.9508
2016-10-24,3.0791,3.0736,3.3538,3.3478,3.7711,3.7515,3.103,3.0832,2.9732,2.9537
2016-10-25,3.078,3.0724,3.3515,3.3454,3.7729,3.7533,3.1043,3.0845,2.9694,2.9498
2016-10-26,3.0835,3.0779,3.3549,3.3488,3.7774,3.7578,3.107,3.0872,2.9581,2.9387
2016-10-27,3.0831,3.0776,3.3665,3.3605,3.7681,3.7485,3.1153,3.0954,2.9662,2.9467
2016-10-28,3.1054,3.0998,3.3895,3.3834,3.8041,3.7844,3.1352,3.1152,2.9734,2.9539
2016-10-31,3.1054,3.0998,3.3895,3.3834,3.8041,3.7844,3.1352,3.1152,2.9734,2.9539
2016-11-01,3.108,3.1024,3.4055,3.3993,3.7909,3.7712,3.1508,3.1307,2.9681,2.9486
2016-11-02,3.1037,3.0981,3.412,3.4059,3.8054,3.7857,3.1539,3.1337,2.9651,2.9456
2016-11-03,3.1173,3.1117,3.4542,3.448,3.8321,3.8122,3.2138,3.1933,3.0172,2.9974
2016-11-04,3.1181,3.1125,3.4605,3.4543,3.8651,3.8451,3.2149,3.1944,3.0374,3.0174
2016-11-07,3.1405,3.1348,3.4857,3.4794,3.9246,3.9042,3.2325,3.2119,3.0539,3.0338
2016-11-08,3.1589,3.1532,3.4941,3.4878,3.9266,3.9062,3.2396,3.2189,3.0311,3.0111
2016-11-09,3.1793,3.1736,3.513,3.5067,3.9548,3.9342,3.2678,3.247,3.0488,3.0288
2016-11-10,3.1922,3.1865,3.5476,3.5412,3.9738,3.9532,3.2897,3.2687,3.1027,3.0823
2016-11-11,3.2105,3.2048,3.5046,3.4983,3.9926,3.9719,3.2652,3.2444,3.0345,3.0145
2016-11-14,3.2646,3.2588,3.5544,3.548,4.1244,4.103,3.3184,3.2972,3.0746,3.0544
2016-11-15,3.2846,3.2787,3.537,3.5307,4.1153,4.0939,3.3098,3.2887,3.0548,3.0347
2016-11-16,3.2772,3.2713,3.5326,3.5262,4.0844,4.0632,3.2977,3.2766,3.0363,3.0163
2016-11-17,3.3115,3.3055,3.5485,3.5421,4.1332,4.1118,3.3112,3.2901,3.0318,3.0118
2016-11-18,3.3164,3.3105,3.556,3.5496,4.1407,4.1192,3.322,3.3008,3.0486,3.0286
2016-11-21,3.3896,3.3835,3.5964,3.5899,4.213,4.1911,3.3681,3.3466,3.0748,3.0545
2016-11-22,3.3803,3.3743,3.5931,3.5867,4.1803,4.1586,3.3576,3.3362,3.0585,3.0384
2016-11-23,3.3644,3.3584,3.5765,3.57,4.2023,4.1805,3.3393,3.318,3.0425,3.0225
2016-11-24,3.3885,3.3824,3.5994,3.5929,4.2068,4.185,3.3597,3.3383,3.0597,3.0396
2016-11-25,3.4108,3.4047,3.6002,3.5938,4.2509,4.2289,3.3618,3.3403,3.0236,3.0037
2016-11-28,3.4465,3.4403,3.6499,3.6434,4.2982,4.2759,3.4069,3.3852,3.0563,3.0362
2016-11-29,3.4241,3.418,3.6436,3.637,4.2745,4.2523,3.3961,3.3745,3.0622,3.0421
2016-11-30,3.4261,3.4199,3.6318,3.6253,4.2695,4.2473,3.385,3.3634,3.054,3.0339
